drain TotalCurrent(BV_n44_des) X,drain TotalCurrent(BV_n44_des) Y,drain TotalCurrent(BV_n53_des) X,drain TotalCurrent(BV_n53_des) Y
0.054017309,9.6624088e-07,0.044174132,7.5676658e-07
0.055405729,9.93883e-07,0.045562552,7.816546e-07
0.057488359,1.0360304e-06,0.046603867,8.0045788e-07
0.059050331,1.0682109e-06,0.048165839,8.289082e-07
0.06139329,1.1174579e-06,0.049337318,8.504534e-07
0.063150508,1.1552018e-06,0.051094537,8.8313926e-07
0.064468423,1.1839869e-06,0.052412451,9.0796373e-07
0.066445294,1.2279597e-06,0.054389322,9.4574197e-07
0.067927947,1.2615887e-06,0.055871976,9.7453016e-07
0.070151927,1.3131145e-06,0.056983966,9.9639304e-07
0.071819912,1.3526404e-06,0.058651951,1.0296446e-06
0.07432189,1.4133996e-06,0.05990294,1.0549597e-06
0.076198373,1.4601651e-06,0.061779423,1.093567e-06
0.079013098,1.5323093e-06,0.063186785,1.1230388e-06
0.081124141,1.58804e-06,0.065297829,1.1681226e-06
0.082707424,1.6307794e-06,0.066881111,1.2026466e-06
0.085082348,1.6964392e-06,0.068068573,1.2289564e-06
0.088644734,1.7985315e-06,0.069849766,1.2691078e-06
0.091316524,1.8780302e-06,0.071185661,1.2997781e-06
0.093320366,1.9393537e-06,0.073189503,1.3467033e-06
0.096326129,2.0341344e-06,0.074692385,1.3826426e-06
0.098580452,2.1074735e-06,0.076946707,1.437784e-06
0.10196194,2.2212019e-06,0.078637449,1.4801396e-06
0.10449805,2.3094948e-06,0.081173562,1.5453269e-06
0.10830222,2.4468494e-06,0.083075647,1.5955584e-06
0.11115534,2.5538177e-06,0.08450221,1.634005e-06
0.11543503,2.7207731e-06,0.086642055,1.6929458e-06
0.1186448,2.8512213e-06,0.088246939,1.7381734e-06
0.12345945,3.0555117e-06,0.090654265,1.8076948e-06
0.12707044,3.2156742e-06,0.094265253,1.9158647e-06
