drain TotalCurrent(IdVd_0.005_0.3_n18_des) X,drain TotalCurrent(IdVd_0.005_0.3_n18_des) Y,drain TotalCurrent(IdVd_0.005_0.6_n20_des) X,drain TotalCurrent(IdVd_0.005_0.6_n20_des) Y,drain TotalCurrent(IdVd_0.005_0.9_n30_des) X,drain TotalCurrent(IdVd_0.005_0.9_n30_des) Y,drain TotalCurrent(IdVd_0.005_1.5_n40_des) X,drain TotalCurrent(IdVd_0.005_1.5_n40_des) Y,drain TotalCurrent(IdVd_0.00538_0.3_n55_des) X,drain TotalCurrent(IdVd_0.00538_0.3_n55_des) Y,drain TotalCurrent(IdVd_0.00538_0.6_n59_des) X,drain TotalCurrent(IdVd_0.00538_0.6_n59_des) Y,drain TotalCurrent(IdVd_0.00538_0.9_n63_des) X,drain TotalCurrent(IdVd_0.00538_0.9_n63_des) Y,drain TotalCurrent(IdVd_0.00538_1.5_n67_des) X,drain TotalCurrent(IdVd_0.00538_1.5_n67_des) Y
1.65,0.0002880999,1.65,0.00038440459,1.65,0.00050271696,1.65,0.00076422708,1.65,0.00028486491,1.65,0.00037347338,1.65,0.00048318666,1.65,0.00072680443
1.68,0.00029604271,1.68,0.00039305632,1.68,0.0005118029,1.68,0.0007739683,1.68,0.00029283732,1.68,0.00038216891,1.68,0.00049232248,1.68,0.00073659173
1.71,0.00030398319,1.71,0.00040168778,1.71,0.00052085697,1.71,0.00078365688,1.71,0.00030081032,1.71,0.00039084659,1.71,0.00050142877,1.71,0.00074632833
1.74,0.00031191855,1.74,0.0004102968,1.74,0.00052987842,1.74,0.00079329422,1.74,0.00030878095,1.74,0.0003995043,1.74,0.00051050461,1.74,0.00075601722
1.77,0.0003198464,1.77,0.00041888121,1.77,0.00053886571,1.77,0.00080288163,1.77,0.00031674671,1.77,0.0004081398,1.77,0.00051954809,1.77,0.00076565857
1.8,0.00032776457,1.8,0.00042743884,1.8,0.00054781746,1.8,0.0008124185,1.8,0.00032470518,1.8,0.00041675083,1.8,0.00052855771,1.8,0.00077525179
1.83,0.00033567109,1.83,0.00043596759,1.83,0.00055672754,1.83,0.00082190408,1.83,0.00033265419,1.83,0.0004253351,1.83,0.00053753145,1.83,0.00078479599
1.86,0.00034356436,1.86,0.00044446548,1.86,0.00056559771,1.86,0.00083133356,1.86,0.0003405918,1.86,0.00043389055,1.86,0.0005464641,1.86,0.0007942905
1.89,0.00035144311,1.89,0.0004529311,1.89,0.00057442662,1.89,0.00084070633,1.89,0.00034851652,1.89,0.00044241539,1.89,0.00055535789,1.89,0.00080372994
1.92,0.00035930651,1.92,0.00046136332,1.92,0.00058321273,1.92,0.00085002452,1.92,0.00035642724,1.92,0.00045090811,1.92,0.00056421087,1.92,0.00081311472
1.95,0.0003671538,1.95,0.00046976155,1.95,0.00059195525,1.95,0.00085928674,1.95,0.00036432273,1.95,0.0004593678,1.95,0.00057302144,1.95,0.00082244577
1.98,0.00037498438,1.98,0.00047812585,1.98,0.00060065352,1.98,0.000868492,1.98,0.00037220089,1.98,0.00046779356,1.98,0.00058178876,1.98,0.00083172175
