drain TotalCurrent(IdVd_0_0.3_n18_des) X,drain TotalCurrent(IdVd_0_0.3_n18_des) Y,drain TotalCurrent(IdVd_0_0.6_n20_des) X,drain TotalCurrent(IdVd_0_0.6_n20_des) Y,drain TotalCurrent(IdVd_0_0.9_n30_des) X,drain TotalCurrent(IdVd_0_0.9_n30_des) Y,drain TotalCurrent(IdVd_0_1.5_n40_des) X,drain TotalCurrent(IdVd_0_1.5_n40_des) Y,drain TotalCurrent(IdVd_1.85e10_0.3_n55_des) X,drain TotalCurrent(IdVd_1.85e10_0.3_n55_des) Y,drain TotalCurrent(IdVd_1.85e10_0.6_n59_des) X,drain TotalCurrent(IdVd_1.85e10_0.6_n59_des) Y,drain TotalCurrent(IdVd_1.85e10_0.9_n63_des) X,drain TotalCurrent(IdVd_1.85e10_0.9_n63_des) Y,drain TotalCurrent(IdVd_1.85e10_1.5_n67_des) X,drain TotalCurrent(IdVd_1.85e10_1.5_n67_des) Y
1.38,0.00021700108,1.38,0.00030591933,1.38,0.00041964824,1.38,0.00067397564,1.38,0.00021286884,1.38,0.0003012364,1.38,0.00041473523,1.38,0.00066888774
1.41,0.00022482982,1.41,0.00031467898,1.41,0.00042899084,1.41,0.00068424961,1.41,0.00022064311,1.41,0.00030995037,1.41,0.00042403509,1.41,0.00067912076
1.44,0.00023268282,1.44,0.00032343207,1.44,0.00043830507,1.44,0.00069446142,1.44,0.00022844329,1.44,0.00031865903,1.44,0.00043330783,1.44,0.00068929267
1.47,0.00024055786,1.47,0.00033217518,1.47,0.00044759069,1.47,0.00070461069,1.47,0.00023626683,1.47,0.00032735841,1.47,0.00044255269,1.47,0.00069940291
1.5,0.00024845191,1.5,0.00034090954,1.5,0.00045684785,1.5,0.00071469809,1.5,0.00024411043,1.5,0.00033605026,1.5,0.00045176994,1.5,0.00070945199
1.53,0.00025636202,1.53,0.00034963421,1.53,0.00046607741,1.53,0.0007247216,1.53,0.0002519709,1.53,0.000344733,1.53,0.00046096017,1.53,0.00071943743
1.56,0.00026428507,1.56,0.00035834768,1.56,0.00047527955,1.56,0.0007346811,1.56,0.00025984492,1.56,0.00035340497,1.56,0.00047012327,1.56,0.0007293592
1.59,0.00027221784,1.59,0.00036704852,1.59,0.00048445395,1.59,0.0007445835,1.59,0.00026772906,1.59,0.00036206434,1.59,0.00047925871,1.59,0.0007392239
1.62,0.0002801572,1.62,0.00037573467,1.62,0.00049360011,1.62,0.00075443154,1.62,0.00027561993,1.62,0.00037070908,1.62,0.0004883658,1.62,0.00074903398
1.65,0.0002880999,1.65,0.00038440459,1.65,0.00050271696,1.65,0.00076422708,1.65,0.00028351383,1.65,0.0003793373,1.65,0.00049744325,1.65,0.00075879117
1.68,0.00029604271,1.68,0.00039305632,1.68,0.0005118029,1.68,0.0007739683,1.68,0.00029140783,1.68,0.00038794683,1.68,0.00050648879,1.68,0.00076849328
1.71,0.00030398319,1.71,0.00040168778,1.71,0.00052085697,1.71,0.00078365688,1.71,0.000299299,1.71,0.00039653543,1.71,0.00051550219,1.71,0.00077814197
1.74,0.00031191855,1.74,0.0004102968,1.74,0.00052987842,1.74,0.00079329422,1.74,0.00030718446,1.74,0.0004051008,1.74,0.00052448206,1.74,0.00078773865
1.77,0.0003198464,1.77,0.00041888121,1.77,0.00053886571,1.77,0.00080288163,1.77,0.00031506171,1.77,0.00041364068,1.77,0.00053342686,1.77,0.00079728443
1.8,0.00032776457,1.8,0.00042743884,1.8,0.00054781746,1.8,0.0008124185,1.8,0.00032292857,1.8,0.00042215289,1.8,0.0005423353,1.8,0.00080677872
1.83,0.00033567109,1.83,0.00043596759,1.83,0.00055672754,1.83,0.00082190408,1.83,0.00033078314,1.83,0.00043063542,1.83,0.00055120022,1.83,0.00081622093
1.86,0.00034356436,1.86,0.00044446548,1.86,0.00056559771,1.86,0.00083133356,1.86,0.00033862395,1.86,0.0004390864,1.86,0.00056002539,1.86,0.00082560572
1.89,0.00035144311,1.89,0.0004529311,1.89,0.00057442662,1.89,0.00084070633,1.89,0.00034644989,1.89,0.00044750463,1.89,0.00056880855,1.89,0.00083493387
1.92,0.00035930651,1.92,0.00046136332,1.92,0.00058321273,1.92,0.00085002452,1.92,0.00035426046,1.92,0.00045588922,1.92,0.00057754881,1.92,0.00084420719
1.95,0.0003671538,1.95,0.00046976155,1.95,0.00059195525,1.95,0.00085928674,1.95,0.00036205474,1.95,0.00046423988,1.95,0.00058624549,1.95,0.00085342459
1.98,0.00037498438,1.98,0.00047812585,1.98,0.00060065352,1.98,0.000868492,1.98,0.00036983253,1.98,0.00047255659,1.98,0.00059489824,1.98,0.00086258539
2.01,0.00038279773,2.01,0.0004864532,2.01,0.0006093072,2.01,0.00087763968,2.01,0.00037759446,2.01,0.00048083673,2.01,0.00060350696,2.01,0.00087168923
2.04,0.00039059516,2.04,0.00049474711,2.04,0.000617917,2.04,0.00088672928,2.04,0.00038534072,2.04,0.000489085,2.04,0.00061207286,2.04,0.00088073598
2.07,0.0003983753,2.07,0.00050300913,2.07,0.0006264834,2.07,0.00089576127,2.07,0.00039307148,2.07,0.00049730259,2.07,0.00062059522,2.07,0.00088972635
2.1,0.00040613921,2.1,0.00051123976,2.1,0.00063500622,2.1,0.00090473634,2.1,0.00040078771,2.1,0.00050548909,2.1,0.0006290767,2.1,0.00089866118
2.13,0.00041388687,2.13,0.0005194387,2.13,0.0006434889,2.13,0.00091365551,2.13,0.00040848935,2.13,0.00051364656,2.13,0.00063751947,2.13,0.00090754171
2.16,0.00042161785,2.16,0.00052760787,2.16,0.00065193247,2.16,0.00092252004,2.16,0.00041617614,2.16,0.00052177586,2.16,0.0006459248,2.16,0.00091636932
2.19,0.00042933158,2.19,0.00053574782,2.19,0.00066033794,2.19,0.00093133126,2.19,0.00042384759,2.19,0.00052987779,2.19,0.00065429379,2.19,0.00092514542
2.22,0.00043702733,2.22,0.00054385875,2.22,0.00066870612,2.22,0.00094008969,2.22,0.00043150298,2.22,0.00053795252,2.22,0.00066262729,2.22,0.00093387036
2.25,0.00044470414,2.25,0.00055194056,2.25,0.00067703752,2.25,0.00094879707,2.25,0.00043914134,2.25,0.00054599993,2.25,0.00067092579,2.25,0.00094254614
